admits	sheets	sheet	target	cycle	detail	path
no	1	Planilha1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/named-ranges-hidden.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/noSharedStringTable.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/sample.xlsx
read-err	-	-	-	-	invalid XLSX structure: shared-string count exceeds 2147483647	test-data/ooxml/xlsx/shared-strings-malformed-count.xlsx
no	1	Label	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/shared_formulas.xlsx
no	1	Hoja1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/sharedhyperlink.xlsx
no	5	S&P	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/sheet-names.xlsx
no	2	стр1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/sheet-state-show.xlsx
no	4	Green	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/sheet-tab-color.xlsx
no	3	Foglio1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/sheetProtection_allLocked.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/sheetProtection_not_protected.xlsx
no	1	consumos	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/sortconditionref.xlsx
no	2	Tabelle1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/sortconditionref2.xlsx
no	1	Sheet2	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/style-alternate-content.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/styles.xlsx
no	1	Tabelle1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/table-sample.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/tableStyle.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/test_conditional_formatting.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officedocument/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/universal-content.xlsx
