# fixture operation result
ooxml/xlsx/DateFormatTests.xlsx opc-noop 16445dc0deba00671ee4315015a970d415ce9886da59c974532d946e99276c66:12394
ooxml/xlsx/ExcelPivotTableSample.xlsx opc-noop f0ef1d61c9f3d8b27b18a876b8e24676314c6450ed64a725a7bfaa603fdd67e3:19460
ooxml/xlsx/ExcelTables.xlsx opc-noop 1e43011440eb39000d1751abaf9ded42d37b26f91b4f586a94bf91ce8ecbe9e5:9457
ooxml/xlsx/FormatChoiceTests.xlsx opc-noop c8a86eedc7da9b9f421210cd42bb1164df4d068f39c1b10768f8e780f4f58852:46589
ooxml/xlsx/FormatConditionTests.xlsx opc-noop 96afa10c8f1f633fc2eaebf21a0883c96a8be2cc5f38fc8c2e826b5d9c140d4f:14577
ooxml/xlsx/Formatting.xlsx opc-noop 5a0aa7c36c53b22cd26e3eeb2ee49bf16f7e4101aafa8b1503a0778f4010ddbc:8847
ooxml/xlsx/HeaderFooterComplexFormats.xlsx opc-noop 70828c7e2e8b0068410009e7ab5054e475d1195ad6c6f4303e03732ab8f7ca9c:9543
ooxml/xlsx/InlineString.xlsx opc-noop c92383b48d5141248c7fb37e077b1aa02f716a995d57b779c357758b8afb5478:8401
ooxml/xlsx/InlineStrings.xlsx opc-noop bdfd54e82e7eec3a16bc12708dd2fbb8ebee12921215f6ed78fd32a84bfbfd74:7843
ooxml/xlsx/MatrixFormulaEvalTestData.xlsx opc-noop 12f1dcef889c20fe54a09857790ba9803a7b061cc9fc5b85d0038cd6c86faa79:14875
ooxml/xlsx/NewStyleConditionalFormattings.xlsx opc-noop 1e97af3b87636bd0a759c25439a21b928c2ff3b9a3c57ca49ae24cb1ccdb7e2f:13378
