path	file_bytes	eocd_off	cd_off	cd_size	entries	comment_len	zip64	fast_path	prefixed	tail_pad
test-data/ooxml/pptx/sample.pptx	47215	47193	44270	2923	38	0	0	1	0	0
test-data/ooxml/pptx/smartart-picture-strip.pptx	52395	52373	48720	3653	47	0	0	1	0	0
test-data/ooxml/pptx/smartart-dir.pptx	41593	41571	38396	3175	41	0	0	1	0	0
test-data/ooxml/pptx/smartart-autoTxRot.pptx	58937	58915	54886	4029	53	0	0	1	0	0
test-data/ooxml/pptx/smartart-font-size.pptx	63915	63893	60154	3739	49	0	0	1	0	0
test-data/ooxml/pptx/backgrounds.pptx	63442	63420	59757	3663	48	0	0	1	0	0
test-data/ooxml/pptx/smartart-org-chart.pptx	57764	57742	54448	3294	42	0	0	1	0	0
test-data/ooxml/pptx/pie-chart.pptx	55297	55275	52145	3130	40	0	0	1	0	0
test-data/ooxml/pptx/smartart-background.pptx	50424	50402	47227	3175	41	0	0	1	0	0
test-data/ooxml/pptx/shape-glow-effect.pptx	13691	13669	12470	1199	17	0	0	1	0	0
test-data/ooxml/pptx/smartart-maxdepth.pptx	43256	43234	40059	3175	41	0	0	1	0	0
test-data/ooxml/pptx/elbowConnectors.pptx	34608	34586	31657	2929	37	0	0	1	0	0
test-data/ooxml/pptx/trigger.pptx	32278	32256	29363	2893	37	0	0	1	0	0
test-data/ooxml/pptx/shape-text-rotate.pptx	33784	33762	30803	2959	38	0	0	1	0	0
test-data/ooxml/pptx/smartart-center-cycle.pptx	44405	44383	41208	3175	41	0	0	1	0	0
test-data/ooxml/pptx/smartart-pyramid-1child.pptx	40075	40053	36759	3294	42	0	0	1	0	0
test-data/ooxml/pptx/smartart-background-drawingml-fallback.pptx	40964	40942	37696	3246	42	0	0	1	0	0
test-data/ooxml/pptx/smartart-cycle-matrix.pptx	56986	56964	53670	3294	42	0	0	1	0	0
test-data/ooxml/pptx/smartart-autofit-sync.pptx	41814	41792	38450	3342	42	0	0	1	0	0
test-data/ooxml/docx/drawing.docx	95247	95225	93773	1452	22	0	0	1	0	0
test-data/ooxml/docx/comment.docx	4926	4904	4269	635	10	0	0	1	0	0
test-data/ooxml/docx/testComment.docx	65298	65276	64157	1119	17	0	0	1	0	0
test-data/ooxml/docx/Hyperlink.docx	11478	11456	10751	705	11	0	0	1	0	0
