fixture	key	class	before	after
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=47;sha=48d8acf55517a8a9de2ff12500de108d54f8025f17f2642beeb71b69a9d56d07	len=191;sha=23db0588013003d9a852b0a0a05b97ef826625e7e2fc5fbd24f02b2bafcbeb1e
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx	xlsx.sheet.1.view.0.retained_xml	c-markup-canonical-same	len=81;sha=21a93e8941a9371ad49f7d548ba33e335447b270e14c669ebd4289d8df0d649e	len=225;sha=aa009a5efc855bf593938f6ed5cf060fece5ca92e59e5d858f27a284cc16ae1a
libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=47;sha=48d8acf55517a8a9de2ff12500de108d54f8025f17f2642beeb71b69a9d56d07	len=191;sha=23db0588013003d9a852b0a0a05b97ef826625e7e2fc5fbd24f02b2bafcbeb1e
libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx	xlsx.sheet.1.view.0.retained_xml	c-markup-canonical-same	len=31;sha=2ce5bb0b634fdca13b0db3fcb3ee00e2120a9b34ef23481a97ee953f9ae8b218	len=175;sha=5263b35822d5c4904cd865686d28851f085be9398a206dcdb76d6ae38d25e255
libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx	xlsx.sheet.2.view.0.retained_xml	c-markup-canonical-same	len=31;sha=2ce5bb0b634fdca13b0db3fcb3ee00e2120a9b34ef23481a97ee953f9ae8b218	len=175;sha=5263b35822d5c4904cd865686d28851f085be9398a206dcdb76d6ae38d25e255
libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx	xlsx.sheet.3.view.0.retained_xml	c-markup-canonical-same	len=83;sha=52afb2a90d2231e6ac38ea9f4da7a53792cca50ecf2628f7b6741db772ac50bf	len=227;sha=6f6775315edb9879dd8ffe5cdfea505f35421cf26330bd4f3d7c7e442e181797
libreoffice-core/sc/qa/unit/data/xlsx/subtotal-above.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=1166;sha=3fd99d54f7e177d804ed325b0a02bb8d2241451275be50f258794946a14b4551	len=648;sha=4a0ef28d8cafc4ea7e10c6a69494f0c198ecd1e973bde0e9bbc82a0fb9ef4845
libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=433;sha=b03e8483c3d7c896e73673fe1d22ece48febc62cf37d97f215ff491654dfa7c0	len=577;sha=bcb05030887b8d4e54219d66b9d329f4227b125880dbee397dff577e172e0e41
libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx	xlsx.sheet.1.view.0.retained_xml	c-markup-canonical-same	len=435;sha=16402fe73de320681e13f9aea703d57c1b321b012bd0ba4fbb65c3f120366c8b	len=579;sha=76bfec4ef27a47288fe5c7eeef64e1adf09322697d2181340b7c0666437d4914
libreoffice-core/sc/qa/unit/data/xlsx/tdf105840_allRowsHidden.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=115;sha=105cb3011dad2a5f73a3664bdd4deed7844cefc523c393b279f18a6a96a450fd	len=259;sha=a8142465d95dc9b8e3768f8cf78de2406a8f4b3b2aafe84fa33913afa2cd262e
