experiment	leg	profile	binary_role	case	parts	p50_ns	p95_ns	p99_ns	mean_ns	sample_count	source_read_calls	source_read_bytes	source_version_calls	source_payload_read_calls	source_payload_read_bytes	source_max_in_flight_reads	lookup_count	output_sha256	report_sha256
mapless-binary-search	B1	normal	candidate	opc_casefold_eager_open	256	438177	447082	454771	438300.6000000001	30	-	-	-	-	-	-	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_open	256	307561	317102	320072	308450.56666666653	30	9	19449	4	0	0	1	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_eager_lookup	256	21575	22300	28190	21959.8	30	-	-	-	-	-	-	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_lookup	256	21300	21400	21420	21299.8	30	0	0	144	0	0	0	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_exact_lookup	256	2350	2390	2410	2356.0000000000005	30	0	0	144	0	0	0	144	d8a61329d8e8909a043f56d9e6bf821fc208c82f8791c5810ed632a30b3ce637	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_case_alias_lookup	256	40910	45251	47790	42444.600000000006	30	0	0	144	0	0	0	144	a0f21335f2147ff2ce7cfaaa7db68a7c62e95ec23d8ba9df8b74864e20b45833	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_genuine_miss_lookup	256	18375	18410	18410	18374.833333333336	30	0	0	144	0	0	0	144	fea761da167dbe4473f53f4886ea4a2da108776c8ba4b73d3f9332cc61824582	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_eager_open	2047	3492890	3550766	3562626	3498207.1999999993	30	-	-	-	-	-	-	0	f96278805e54bdf67f62efc0d9b09782988ca60007c602153f2b0498c217016f	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_open	2047	2483775	2531581	2537481	2488188.7666666675	30	11	150192	4	0	0	1	0	f96278805e54bdf67f62efc0d9b09782988ca60007c602153f2b0498c217016f	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_eager_lookup	2047	256326	262451	268571	258030.80000000002	30	-	-	-	-	-	-	144	3cd131d27cdec2640f017ff7998ef2fc7eb6462832039f401686f3ab021355ea	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_lookup	2047	150735	157431	161741	151940.66666666666	30	0	0	144	0	0	0	144	3cd131d27cdec2640f017ff7998ef2fc7eb6462832039f401686f3ab021355ea	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_exact_lookup	2047	2345	2380	8140	2537.6999999999994	30	0	0	144	0	0	0	144	5ff83b42956e53036f19926d023a5e98f59889ec64e51dd618b6100753c9367e	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_case_alias_lookup	2047	303666	312062	312581	305676.9333333333	30	0	0	144	0	0	0	144	3336a08cd318f74e98515959a34dce128aefc6b9fa3546151fbf627572c025d9	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_genuine_miss_lookup	2047	136150	144841	144861	125614.26666666666	30	0	0	144	0	0	0	144	fea761da167dbe4473f53f4886ea4a2da108776c8ba4b73d3f9332cc61824582	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_eager_open	2048	3502970	3567706	3570415	3509778.9666666673	30	-	-	-	-	-	-	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_open	2048	2482111	2537631	2543611	2487174.533333333	30	11	150265	4	0	0	1	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_eager_lookup	2048	161891	167541	167801	162871.03333333338	30	-	-	-	-	-	-	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_lookup	2048	57915	64850	65161	58569.26666666666	30	0	0	144	0	0	0	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_exact_lookup	2048	66120	71520	72160	66799.59999999998	30	0	0	144	0	0	0	144	fa9dd41f44885e503e7a9fdbc03e97aa3b515723fe578b0e9bcaf114238990c9	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_case_alias_lookup	2048	66155	71740	72390	66849.3	30	0	0	144	0	0	0	144	ab0ffe95ce1e4c74f73dd7b9ea910991299588ee79917e99efe6c0a8e26262b4	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_genuine_miss_lookup	2048	37075	41880	42770	37497.1	30	0	0	144	0	0	0	144	fea761da167dbe4473f53f4886ea4a2da108776c8ba4b73d3f9332cc61824582	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_eager_open	16384	32501838	33284277	33312387	32465128.8	30	-	-	-	-	-	-	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_open	16384	23521113	23985836	24122846	23472491.066666666	30	27	1196793	4	0	0	1	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_eager_lookup	16384	2957313	2966333	3043624	2957685.6999999997	30	-	-	-	-	-	-	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_lookup	16384	73035	78970	79211	73437.33333333334	30	0	0	144	0	0	0	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_exact_lookup	16384	84675	91030	91091	85143.73333333331	30	0	0	144	0	0	0	144	58ee4d69d4dd8ed44c627b65ffe31ac45a9c0a0f9c0c7d05478298cdb0a00b31	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_case_alias_lookup	16384	84371	89910	90400	84901.36666666667	30	0	0	144	0	0	0	144	f197c1243908b5970c2045ae96d6312d27c2109a08ca4a3752ed36b2ae1a8fce	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B1	normal	candidate	opc_casefold_source_genuine_miss_lookup	16384	45270	50120	50320	45674.53333333334	30	0	0	144	0	0	0	144	fea761da167dbe4473f53f4886ea4a2da108776c8ba4b73d3f9332cc61824582	e709cd300d4a19cdb29620e525582ba3e3581727a6709ae734770711020de0cd
mapless-binary-search	B2	normal	candidate	opc_casefold_eager_open	256	428117	437262	460732	428124.86666666676	30	-	-	-	-	-	-	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	cfeecbf85da9de0e1f2b679b946fb01eafc341c0dc6380a9b40c15f3f62ce4c8
mapless-binary-search	B2	normal	candidate	opc_casefold_source_open	256	301556	309342	310942	302687.0666666666	30	9	19449	4	0	0	1	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	cfeecbf85da9de0e1f2b679b946fb01eafc341c0dc6380a9b40c15f3f62ce4c8
mapless-binary-search	B2	normal	candidate	opc_casefold_eager_lookup	256	31165	33830	36180	31428.500000000004	30	-	-	-	-	-	-	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	cfeecbf85da9de0e1f2b679b946fb01eafc341c0dc6380a9b40c15f3f62ce4c8
