container	before_requests	after_requests	before_bytes	after_bytes	before_versions	after_versions
test-data/libreoffice-core/reportdesign/qa/unit/data/roundTrip.odb	3	3	2154	2154	4	4
test-data/libreoffice-core/sc/qa/extras/testdocuments/RecordChangesProtected.ods	3	3	1204	1204	4	4
test-data/libreoffice-core/sc/qa/extras/testdocuments/ScDatabaseRangeObj.ods	3	3	1146	1146	4	4
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	6	5	3346	3346	4	4
test-data/libreoffice-core/sc/qa/unit/data/ods/change-tracking.ods	3	3	1193	1193	4	4
test-data/libreoffice-core/sc/qa/unit/data/ods/external_hyperlink.ods	3	3	1193	1193	4	4
test-data/libreoffice-core/sc/qa/unit/data/ods/formats.ods	3	3	1204	1204	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsb/tdf108017_calcProtection.xlsb	9	5	4442	4442	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx	6	5	4214	4214	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx	7	6	2371	2371	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx	6	5	3547	3547	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx	9	6	4398	4398	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx	6	4	2995	2995	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx	7	5	3601	3601	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx	6	4	2995	2995	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx	6	4	2995	2995	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx	6	5	1753	1729	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx	7	5	3557	3557	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx	6	6	2570	2570	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx	8	6	4253	4253	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx	6	6	1450	1450	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/queryTableExport.xlsx	7	6	3366	3366	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx	7	5	3519	3519	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx	6	4	3167	3167	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/refupdate.xlsx	6	5	2987	2987	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx	6	4	3073	3073	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx	6	4	3056	3056	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/subtotal-above.xlsx	7	6	3526	3526	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx	6	6	1796	1796	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf105840_allRowsHidden.xlsx	6	4	2796	2796	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf111980_radioButtons.xlsx	13	7	6474	6474	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf120168.xlsx	10	6	5781	5781	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf134455.xlsx	6	6	1664	1664	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf134459_HeaderFooterColor.xlsx	7	6	3336	3336	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf136721_letter_sized_paper.xlsx	7	6	3536	3536	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf143068_top10filter.xlsx	7	6	3435	3435	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf167689_xmlMaps_and_xmlColumnPr.xlsx	7	4	2306	2306	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf66377.xlsx	10	7	6028	6028	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx	6	4	3066	3066	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/textLengthDataValidity.xlsx	7	6	3336	3336	4	4
test-data/libreoffice-core/sc/qa/unit/data/xlsx/totalsRowShown.xlsx	7	6	3681	3681	4	4
