package	index	sheet	verdict
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleWithComments.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleWithComments.xlsx	1	Sheet2	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleWithComments.xlsx	2	Sheet3	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SingleCellTable.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Sparklines.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Sparklines.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Sparklines.xlsx	2	Sheet3	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/StructuredReferences.xlsx	0	Formulas	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/StructuredReferences.xlsx	1	Table	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx	0	Profile	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx	1	List	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx	2	Query	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx	3	dropdowns	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx	4	query2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	0	Exp1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	1	Exp2 (2)	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	2	Exp3 (2)	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	3	Exp4	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	4	Exp5	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	5	Exp6 (2)	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	6	Exp7 (2)	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	7	Exp8	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	8	Exp9	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	9	Exp10 (2)	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	10	Exp11 (2)	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Tables.xlsx	11	Exp12	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/TablesWithDifferentHeaders.xlsx	0	IntHeaders	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/TablesWithDifferentHeaders.xlsx	1	FloatHeaders	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
