run	leg	profile	case	parts	p50_ns	p95_ns	p99_ns	mean_ns	sample_count	source_read_calls	source_read_bytes	source_version_calls	source_payload_read_calls	source_payload_read_bytes	source_max_in_flight_reads	lookup_count	output_sha256	report_sha256
probe	B1	allocator	opc_casefold_source_lookup	256	29000	29140	35840	29229.466667	30	0	0	144	0	0	0	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B1	allocator	opc_casefold_eager_open	2048	4654925	4673640	4703340	4657402.633333	30	-	-	-	-	-	-	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B1	allocator	opc_casefold_source_open	2048	3339674	3352774	3361834	3340360.966667	30	11	150265	4	0	0	1	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B1	allocator	opc_casefold_eager_lookup	2048	149700	155540	156781	150934.633333	30	-	-	-	-	-	-	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B1	allocator	opc_casefold_source_lookup	2048	38085	38630	43710	38267.0	30	0	0	144	0	0	0	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B1	allocator	opc_casefold_eager_open	16384	42060672	42486289	42525329	42038157.066667	30	-	-	-	-	-	-	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B1	allocator	opc_casefold_source_open	16384	31003710	31436163	31660913	30999096.3	30	27	1196793	4	0	0	1	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B1	allocator	opc_casefold_eager_lookup	16384	2069678	2083609	2085549	2070248.033333	30	-	-	-	-	-	-	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B1	allocator	opc_casefold_source_lookup	16384	48365	53890	54351	48989.266667	30	0	0	144	0	0	0	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B2	normal	opc_casefold_eager_open	256	427907	442472	450322	428903.333333	30	-	-	-	-	-	-	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
