sweep	before_sha256	after_sha256	identical
corpus-ppt-open-empty_textbox-payload.tsv	78cbe5e1ae2bff21452ac41e934a140e32249e4bc44344c03442176820ad3261	78cbe5e1ae2bff21452ac41e934a140e32249e4bc44344c03442176820ad3261	yes
corpus-ppt-open-headers_footers-dir.tsv	2ccd471ca3c0fd561f0b2c53f7e64bbaf295c2a566a1f85610d7f89d16cbc803	2ccd471ca3c0fd561f0b2c53f7e64bbaf295c2a566a1f85610d7f89d16cbc803	yes
corpus-ppt-open-headers_footers-fat.tsv	c0274cc9b257848710be48d95f4ac4c85bc57041b07ede5acf4cca2332651b13	c0274cc9b257848710be48d95f4ac4c85bc57041b07ede5acf4cca2332651b13	yes
corpus-ppt-open-headers_footers-payload.tsv	390ee26879b66d690ca786145dc34a0f2e9cb024f9de55094c82adb41b37a782	390ee26879b66d690ca786145dc34a0f2e9cb024f9de55094c82adb41b37a782	yes
corpus-ppt-open-headers_footers_2007-dir.tsv	e98497ca3bbc13657093500a6d98e0740a602dbb413fe5b87a8b6372ea3253e0	e98497ca3bbc13657093500a6d98e0740a602dbb413fe5b87a8b6372ea3253e0	yes
corpus-ppt-open-headers_footers_2007-fat.tsv	5c4d8563ab9551c79630b8f8b8a84c301c40e0af32682ce07bad7d3d30def6bd	5c4d8563ab9551c79630b8f8b8a84c301c40e0af32682ce07bad7d3d30def6bd	yes
corpus-ppt-open-headers_footers_2007-payload.tsv	8379732fe65720097601aadd5afad790ee7e964b1ada6fe61c9544c90f05c876	8379732fe65720097601aadd5afad790ee7e964b1ada6fe61c9544c90f05c876	yes
corpus-ppt-open-incorrect_slide_order-dir.tsv	f53e34627314233cefdc445c4e46cdb6c5adae3e4bbd7f7d252899356a90a5f1	f53e34627314233cefdc445c4e46cdb6c5adae3e4bbd7f7d252899356a90a5f1	yes
corpus-ppt-open-incorrect_slide_order-fat.tsv	2d3001ede90eaed55bc974d98496a4e5c1944d8ecc0805c41f7878cb0e803373	2d3001ede90eaed55bc974d98496a4e5c1944d8ecc0805c41f7878cb0e803373	yes
corpus-ppt-open-incorrect_slide_order-payload.tsv	6c64e75039659ab7a1a99608a596880b1bbc6f3e00c25bcccc10461af35f6b58	6c64e75039659ab7a1a99608a596880b1bbc6f3e00c25bcccc10461af35f6b58	yes
corpus-ppt-open-litchi-changed-45543-transition-litchi-dir.tsv	8a0fb394bbc51eabbf9f31cded30b04ebd7199c2d29c419f3c8bf82374dcb56e	8a0fb394bbc51eabbf9f31cded30b04ebd7199c2d29c419f3c8bf82374dcb56e	yes
corpus-ppt-open-litchi-changed-45543-transition-litchi-fat.tsv	c2a85509de584ae800a04058eb3d212d95fdf34fb78968ecf89758e0e9af6762	c2a85509de584ae800a04058eb3d212d95fdf34fb78968ecf89758e0e9af6762	yes
corpus-ppt-open-litchi-changed-45543-transition-litchi-payload.tsv	a0cc9eb13f7c0791ec6a7bda7c7349d5d21d95ffe2e0a8e5afe497d04c01be89	a0cc9eb13f7c0791ec6a7bda7c7349d5d21d95ffe2e0a8e5afe497d04c01be89	yes
corpus-ppt-open-ole2-embedding-2003-dir.tsv	6bf2c29bd2c42b3b2e2f0dd27d92252069bcdddaa2123f1f8564b4cba437480d	6bf2c29bd2c42b3b2e2f0dd27d92252069bcdddaa2123f1f8564b4cba437480d	yes
corpus-ppt-open-ole2-embedding-2003-fat.tsv	a66918dee7ffc8fe83aaa847ee6acc11e02f4d119d87945debc236d7e3283eba	a66918dee7ffc8fe83aaa847ee6acc11e02f4d119d87945debc236d7e3283eba	yes
corpus-ppt-open-ole2-embedding-2003-payload.tsv	0cee286b045eec198849cd71363bb007e4ad29ffc5b4167844abb43ff67fa6c6	0cee286b045eec198849cd71363bb007e4ad29ffc5b4167844abb43ff67fa6c6	yes
corpus-ppt-open-ppt_with_embeded-dir.tsv	7e79b2b88d7493356fc350a90c0de0bfb297d618d0db51b754dc1d5db2a5f1fa	7e79b2b88d7493356fc350a90c0de0bfb297d618d0db51b754dc1d5db2a5f1fa	yes
corpus-ppt-open-ppt_with_embeded-fat.tsv	2198a1a560c8763bb70f6a70ffe20a43da8e20cadb712af6683445fd0af7be3b	2198a1a560c8763bb70f6a70ffe20a43da8e20cadb712af6683445fd0af7be3b	yes
corpus-ppt-open-ppt_with_embeded-payload.tsv	8884f1272f1c0e9fabf64cfb9e5a9d27fc36218101fbf4aa97b51e271ea642d8	8884f1272f1c0e9fabf64cfb9e5a9d27fc36218101fbf4aa97b51e271ea642d8	yes
corpus-ppt-open-ppt_with_png-dir.tsv	518b471f74f625eb43d5c531c8aacec4ebd45edb81acc3f9d894a224efd9c83a	518b471f74f625eb43d5c531c8aacec4ebd45edb81acc3f9d894a224efd9c83a	yes
corpus-ppt-open-ppt_with_png-fat.tsv	8aada63fa71f5b19344f251a66e2e58546cdf31018deb05e8d40306a93e4ced9	8aada63fa71f5b19344f251a66e2e58546cdf31018deb05e8d40306a93e4ced9	yes
