op,order,leg,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_prepared_warm_paragraph_count,3,base,2,835235,2075596,-18915,291,-1
eager_prepared_warm_paragraph_count,3,base,3,957181,2174483,-3377,-83,-2
eager_prepared_warm_paragraph_count,3,base,4,-1135948,2031759,-13539,-303,0
eager_prepared_warm_paragraph_count,3,base,5,951526,2240202,-19198,-143,-1
eager_prepared_warm_paragraph_count,3,base,6,91576,2288212,3517,-189,-1
eager_prepared_warm_paragraph_count,3,base,7,789751,2223177,2040,-245,0
eager_prepared_warm_paragraph_count,3,base,8,1068229,2373926,-1367,155,2
eager_prepared_warm_paragraph_count,3,base,9,313008,2106210,-2721,-138,1
eager_prepared_warm_paragraph_count,3,base,10,1110828,2325107,3729,35,0
eager_prepared_warm_paragraph_count,3,base,11,1436966,2244907,-1328,-83,-2
eager_prepared_warm_paragraph_count,3,base,12,-419633,2250222,984,177,1
eager_prepared_warm_paragraph_count,3,base,13,1453583,2014819,-1678,1,-1
eager_prepared_warm_paragraph_count,3,base,14,262043,2336861,-986,36,-2
eager_prepared_warm_paragraph_count,3,base,15,190511,2132881,-1554,-145,0
eager_prepared_warm_paragraph_count,3,base,16,2021476,2419873,-1226,-445,-1
eager_prepared_warm_paragraph_count,3,base,17,1453317,2317632,-1410,177,1
eager_prepared_warm_paragraph_count,3,base,18,-668088,2117180,5030,32,1
eager_prepared_warm_paragraph_count,3,base,19,514289,2203159,-2801,9,2
eager_prepared_warm_paragraph_count,3,base,20,737864,2325577,16341,202,0
eager_prepared_warm_paragraph_count,3,base,21,-477715,2086850,-998,-84,0
eager_prepared_warm_paragraph_count,3,base,22,1311006,2184708,1274,-207,-5
eager_prepared_warm_paragraph_count,3,base,23,205476,2155813,-1837,55,4
eager_prepared_warm_paragraph_count,3,base,24,1013337,2176128,-15983,13,0
eager_prepared_warm_paragraph_count,3,base,25,-747707,2062394,-438,-88,1
eager_prepared_warm_paragraph_count,4,rev0592,1,420389,2150672,1735,-284,0
eager_prepared_warm_paragraph_count,4,rev0592,2,915000,2276247,-1320,271,0
eager_prepared_warm_paragraph_count,4,rev0592,3,1694130,2174913,111,-126,0
eager_prepared_warm_paragraph_count,4,rev0592,4,1906181,2335979,1690,32,-1
eager_prepared_warm_paragraph_count,4,rev0592,5,744879,2349982,-1468,-95,1
eager_prepared_warm_paragraph_count,4,rev0592,6,-179604,2171329,14784,-230,0
eager_prepared_warm_paragraph_count,4,rev0592,7,-2687943,2170339,51,-186,-2
eager_prepared_warm_paragraph_count,4,rev0592,8,1866858,2119193,4933,371,-1
eager_prepared_warm_paragraph_count,4,rev0592,9,37264,2303667,-1062,1,0
eager_prepared_warm_paragraph_count,4,rev0592,10,-222011,2465924,536,-190,0
eager_prepared_warm_paragraph_count,4,rev0592,11,301011,2124268,-373,166,-1
eager_prepared_warm_paragraph_count,4,rev0592,12,238577,2161613,2560,375,1
eager_prepared_warm_paragraph_count,4,rev0592,13,-1016345,2186602,1317,34,0
eager_prepared_warm_paragraph_count,4,rev0592,14,-1126218,1945801,63,15,-2
eager_prepared_warm_paragraph_count,4,rev0592,15,736520,2142001,-14815,-74,0
eager_prepared_warm_paragraph_count,4,rev0592,16,681494,2154304,-19323,147,2
eager_prepared_warm_paragraph_count,4,rev0592,17,-1355307,2139934,606,365,-2
eager_prepared_warm_paragraph_count,4,rev0592,18,468320,2227771,1551,-7,1
eager_prepared_warm_paragraph_count,4,rev0592,19,-1009024,2189263,1709,-245,0
eager_prepared_warm_paragraph_count,4,rev0592,20,1132696,2208985,555,113,-1
eager_prepared_warm_paragraph_count,4,rev0592,21,1038540,2205669,-16822,-90,2
eager_prepared_warm_paragraph_count,4,rev0592,22,1382265,2102575,2593,-118,1
eager_prepared_warm_paragraph_count,4,rev0592,23,-533899,2194875,925,198,-2
eager_prepared_warm_paragraph_count,4,rev0592,24,710256,2305468,78,-12,-2
eager_prepared_warm_paragraph_count,4,rev0592,25,1217143,2292969,-11474,81,0
eager_noprep_paragraph_count,1,rev0592,1,428484,2147645,3246,544,-1
eager_noprep_paragraph_count,1,rev0592,2,240892,2097079,456,-3,-2
eager_noprep_paragraph_count,1,rev0592,3,1606343,1860872,1308,291,-2
eager_noprep_paragraph_count,1,rev0592,4,889642,2039419,1705,-225,0
eager_noprep_paragraph_count,1,rev0592,5,1540535,2248598,4616,58,-2
eager_noprep_paragraph_count,1,rev0592,6,-2895630,2091492,5324,-452,-1
eager_noprep_paragraph_count,1,rev0592,7,2531933,2392420,-13643,-44,2
eager_noprep_paragraph_count,1,rev0592,8,1780030,2410992,-2234,144,0
eager_noprep_paragraph_count,1,rev0592,9,-1025719,2212017,20786,237,3
eager_noprep_paragraph_count,1,rev0592,10,778612,2162851,4131,-19,1
eager_noprep_paragraph_count,1,rev0592,11,-230083,1964933,828,-177,1
eager_noprep_paragraph_count,1,rev0592,12,4462741,2381159,624,119,-1
eager_noprep_paragraph_count,1,rev0592,13,-1034757,2347864,3727,-29,-1
eager_noprep_paragraph_count,1,rev0592,14,-553896,2016349,1660,-297,0
eager_noprep_paragraph_count,1,rev0592,15,1844486,2216051,2453,-4,0
eager_noprep_paragraph_count,1,rev0592,16,-131862,2120677,2423,317,0
eager_noprep_paragraph_count,1,rev0592,17,1227692,2226362,-17211,65,3
eager_noprep_paragraph_count,1,rev0592,18,1814466,2124691,16128,-120,-1
eager_noprep_paragraph_count,1,rev0592,19,158792,2193543,5664,567,1
eager_noprep_paragraph_count,1,rev0592,20,1724349,2196220,2113,271,-1
eager_noprep_paragraph_count,1,rev0592,21,1846335,2343879,1530,58,2
eager_noprep_paragraph_count,1,rev0592,22,668804,2098159,5019,181,1
eager_noprep_paragraph_count,1,rev0592,23,-425769,2323762,-16311,-158,-3
eager_noprep_paragraph_count,1,rev0592,24,103002,2205021,-9827,166,0
eager_noprep_paragraph_count,1,rev0592,25,-778263,2287415,1603,187,0
eager_noprep_paragraph_count,2,base,1,1039021,2139955,4848,-174,1
eager_noprep_paragraph_count,2,base,2,208370,2108512,733,42,0
eager_noprep_paragraph_count,2,base,3,589351,2299126,-2914,270,-1
eager_noprep_paragraph_count,2,base,4,1650489,2212355,1737,-532,1
eager_noprep_paragraph_count,2,base,5,965433,2020646,-1496,-224,1
eager_noprep_paragraph_count,2,base,6,373273,2140199,2428,147,-1
eager_noprep_paragraph_count,2,base,7,1425013,2257118,1576,-67,-2
eager_noprep_paragraph_count,2,base,8,599573,2191380,1888,-107,1
eager_noprep_paragraph_count,2,base,9,827857,2050947,3532,224,-1
eager_noprep_paragraph_count,2,base,10,448683,2186847,3047,21,0
eager_noprep_paragraph_count,2,base,11,-148587,2130818,1411,36,-2
eager_noprep_paragraph_count,2,base,12,672963,2414155,1595,-310,-1
eager_noprep_paragraph_count,2,base,13,414267,2172196,3881,89,0
eager_noprep_paragraph_count,2,base,14,-855133,2257112,5354,-169,-1
eager_noprep_paragraph_count,2,base,15,19006,2028708,-3014,-259,2
eager_noprep_paragraph_count,2,base,16,259483,1968721,-353,24,0
eager_noprep_paragraph_count,2,base,17,11920,2230637,4439,-82,0
eager_noprep_paragraph_count,2,base,18,1505921,2102920,-18535,-109,2
eager_noprep_paragraph_count,2,base,19,803369,2228104,-739,-132,-1
eager_noprep_paragraph_count,2,base,20,-23524,2172183,6341,-149,0
eager_noprep_paragraph_count,2,base,21,1005969,2233259,4510,50,0
eager_noprep_paragraph_count,2,base,22,181747,2266586,1723,-231,-1
eager_noprep_paragraph_count,2,base,23,-545243,1979648,1445,-225,-1
eager_noprep_paragraph_count,2,base,24,2688206,2180187,5945,82,1
eager_noprep_paragraph_count,2,base,25,866589,2070056,2572,-52,0
eager_noprep_paragraph_count,3,base,1,-166427,2109022,1094,40,-1
