op,leg,reps,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_prepared_paragraph_count,rev0592,0,33,77594903,96155255,80099,75462,16599
eager_prepared_paragraph_count,rev0592,1,33,79771672,98342609,80111,75764,16599
eager_prepared_paragraph_count,base,0,33,79426088,94638273,77923,75373,16598
eager_prepared_paragraph_count,base,1,33,80410278,96762242,97367,75307,16598
eager_prepared_paragraph_count,rev0592,0,34,78127245,96031632,78304,75245,16599
eager_prepared_paragraph_count,rev0592,1,34,80537041,98236453,83937,75351,16598
eager_prepared_paragraph_count,base,0,34,79462619,94551917,81737,75169,16598
eager_prepared_paragraph_count,base,1,34,77889450,96701705,79482,75622,16599
eager_prepared_paragraph_count,rev0592,0,35,79082416,96115825,82155,75348,16598
eager_prepared_paragraph_count,rev0592,1,35,78791007,98294425,79852,75352,16598
eager_prepared_paragraph_count,base,0,35,79164314,94725680,81554,76184,16600
eager_prepared_paragraph_count,base,1,35,79542733,96823800,101010,75470,16599
eager_prepared_paragraph_count,rev0592,0,36,78603666,96056261,78619,75634,16600
eager_prepared_paragraph_count,rev0592,1,36,77061897,98276314,78749,75701,16601
eager_prepared_paragraph_count,base,0,36,75239739,94588640,78601,75387,16599
eager_prepared_paragraph_count,base,1,36,78330266,97144971,79886,75389,16598
eager_prepared_paragraph_count,rev0592,0,37,75658419,96070893,78977,75412,16598
eager_prepared_paragraph_count,rev0592,1,37,76665855,98148468,78425,75123,16600
eager_prepared_paragraph_count,base,0,37,77134233,94692582,76290,75196,16597
eager_prepared_paragraph_count,base,1,37,77194418,96697838,92304,75615,16597
eager_prepared_paragraph_count,rev0592,0,38,77794079,96074513,78994,75554,16598
eager_prepared_paragraph_count,rev0592,1,38,77364779,98366665,80293,75547,16599
eager_prepared_paragraph_count,base,0,38,75954978,94612555,78450,75387,16599
eager_prepared_paragraph_count,base,1,38,77284859,96870622,79239,75678,16597
eager_prepared_paragraph_count,rev0592,0,39,76476372,96176572,80067,75257,16597
eager_prepared_paragraph_count,rev0592,1,39,77356464,98340415,79180,75501,16599
eager_prepared_paragraph_count,base,0,39,77594006,94630739,77158,75295,16598
eager_prepared_paragraph_count,base,1,39,76775443,96912105,79651,75297,16598
eager_prepared_paragraph_count,rev0592,0,40,76390218,96250441,81298,75406,16599
eager_prepared_paragraph_count,rev0592,1,40,77130147,98181293,80987,75341,16597
eager_prepared_paragraph_count,base,0,40,74324246,94652973,77926,75221,16600
eager_prepared_paragraph_count,base,1,40,75338262,96718394,79318,75212,16597
eager_prepared_warm_paragraph_count,rev0592,0,1,76621385,98216744,80943,75250,16600
eager_prepared_warm_paragraph_count,rev0592,1,1,79224837,100325719,83436,75386,16599
eager_prepared_warm_paragraph_count,base,0,1,78239617,96803069,78205,75345,16597
eager_prepared_warm_paragraph_count,base,1,1,78091720,98900098,97505,75348,16599
eager_prepared_warm_paragraph_count,rev0592,0,2,77259335,98175599,100277,75262,16598
eager_prepared_warm_paragraph_count,rev0592,1,2,79856700,100282498,80860,75444,16598
eager_prepared_warm_paragraph_count,base,0,2,79274753,96644634,77854,75402,16598
eager_prepared_warm_paragraph_count,base,1,2,78779458,98886930,80140,75587,16600
eager_prepared_warm_paragraph_count,rev0592,0,3,77937669,98338984,79452,75405,16597
eager_prepared_warm_paragraph_count,rev0592,1,3,78681047,100356882,81691,75297,16598
eager_prepared_warm_paragraph_count,base,0,3,77817771,96790619,78363,75480,16598
eager_prepared_warm_paragraph_count,base,1,3,78459148,98985922,80065,75315,16598
eager_prepared_warm_paragraph_count,rev0592,0,4,78624379,98300205,79944,75467,16598
