fixture	route	before_status	before_field1	before_field2	after_status	after_field1	after_field2	control_status	control_field1	control_field2	differs_raw	differs_normalized
test-data/libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx	xlsx_source_backed_tab_state	OK	29373	23	OK	29373	23	OK	29373	23	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx	xlsx_edit_save	OK	9566	14	OK	9566	14	OK	9566	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx	xlsx_noop_save	OK	9494	14	OK	9494	14	OK	9494	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	1	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx	xlsx_source_backed_tab_state	OK	9494	14	OK	9494	14	OK	9494	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx	xlsx_edit_save	OK	8923	14	OK	8923	14	OK	8923	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx	xlsx_noop_save	OK	9964	15	OK	9964	15	OK	9964	15	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx	xlsx_source_backed_tab_state	OK	9964	15	OK	9964	15	OK	9964	15	0	0
