# fixture archive_bytes parts inflated_bytes xml_parts xml_bytes largest_part_bytes
test-data/ooxml/xlsx/Pivot2_Row_Grand_Subtotals.xlsx 12670 11 19470 11 19470 4863
test-data/ooxml/xlsx/Pivot2_Row_Subtotals.xlsx 12656 11 19352 11 19352 4863
test-data/ooxml/xlsx/Pivot2_Row_Subtotals_SortDescendingAll.xlsx 12677 11 19409 11 19409 4863
test-data/ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx 12716 11 19703 11 19703 4863
test-data/ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx 12734 11 19723 11 19723 4863
test-data/ooxml/xlsx/SimpleMultiCell.xlsx 8123 8 12002 8 12002 6995
test-data/ooxml/xlsx/SimpleNormal.xlsx 8871 9 13413 9 13413 7079
test-data/ooxml/xlsx/SimpleScatterChart.xlsx 18278 16 49029 16 49029 9946
test-data/ooxml/xlsx/SimpleStrict.xlsx 9225 9 14186 9 14186 7045
test-data/ooxml/xlsx/SimpleWithComments.xlsx 10060 11 15719 11 15719 6995
test-data/ooxml/xlsx/SingleCellTable.xlsx 9486 8 15481 8 15481 8390
test-data/ooxml/xlsx/Sparklines.xlsx 13356 8 30630 8 30630 9386
test-data/ooxml/xlsx/StructuredReferences.xlsx 10459 10 17308 10 17308 8390
test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx 325446 25 2684014 25 2684014 1558391
test-data/ooxml/xlsx/Tables.xlsx 54387 31 215074 31 215074 35122
test-data/ooxml/xlsx/TablesWithDifferentHeaders.xlsx 11359 12 15228 12 15228 7079
test-data/ooxml/xlsx/TextColor.xlsx 9531 10 13587 10 13587 7079
test-data/ooxml/xlsx/TwoSheetsNoneHidden.xlsx 7938 8 11384 8 11384 6995
test-data/ooxml/xlsx/TwoSheetsOneHidden.xlsx 7962 8 11428 8 11428 6995
test-data/ooxml/xlsx/autofilter-colors-fg.xlsx 10750 9 26629 9 26629 8480
test-data/ooxml/xlsx/autofilter-colors.xlsx 10708 9 26576 9 26576 8480
test-data/ooxml/xlsx/autofilter.xlsx 6299 7 17480 7 17480 11641
test-data/ooxml/xlsx/autofilternamedrange.xlsx 9685 8 16589 8 16589 8390
test-data/ooxml/xlsx/cell-borders.xlsx 20972 13 28227 11 19566 6995
test-data/ooxml/xlsx/cell-multi-line.xlsx 9144 8 20417 8 20417 8192
test-data/ooxml/xlsx/chart_hyperlink.xlsx 21564 17 68912 17 68912 9666
test-data/ooxml/xlsx/column_style.xlsx 4646 5 10364 5 10364 6615
test-data/ooxml/xlsx/condFormat_cellis.xlsx 9347 8 18545 8 18545 7079
test-data/ooxml/xlsx/condformat_databar.xlsx 8052 6 12560 6 12560 6800
test-data/ooxml/xlsx/condformat_theme_color.xlsx 8937 7 14530 7 14530 6798
test-data/ooxml/xlsx/conditional_fmt_checkpriority.xlsx 10682 9 23032 9 23032 8390
test-data/ooxml/xlsx/conditional_fmt_origin.xlsx 9705 8 20472 8 20472 8390
test-data/ooxml/xlsx/conditional_formatting_multiple_ranges.xlsx 9487 8 18319 8 18319 6788
test-data/ooxml/xlsx/customxml.xlsx 13282 13 40009 12 39197 23068
test-data/ooxml/xlsx/decimal-format.xlsx 9677 9 31947 9 31947 20015
test-data/ooxml/xlsx/duplicate-defined-names.xlsx 18756 8 103087 8 103087 72386
test-data/ooxml/xlsx/empty.xlsx 5221 6 10155 6 10155 4601
test-data/ooxml/xlsx/enhanced-protection.xlsx 8483 7 13157 7 13157 6798
test-data/ooxml/xlsx/external-cache-multi-letter-column.xlsx 44267 28 143358 28 143358 42622
test-data/ooxml/xlsx/external-link-path-missing.xlsx 15018 12 34945 12 34945 9752
test-data/ooxml/xlsx/external-link-path-startup.xlsx 11076 9 23910 9 23910 8632
test-data/ooxml/xlsx/fontSize.xlsx 9883 10 14184 10 14184 7079
test-data/ooxml/xlsx/formats.xlsx 9295 9 32724 9 32724 18323
test-data/ooxml/xlsx/headerFooterTest.xlsx 27484 8 31794 7 12658 19136
test-data/ooxml/xlsx/hyperlink.xlsx 9833 8 14025 8 14025 6798
test-data/ooxml/xlsx/hyperlink_export.xlsx 9100 7 15113 7 15113 8390
test-data/ooxml/xlsx/hyperlink_formula.xlsx 9472 8 15476 8 15476 8390
test-data/ooxml/xlsx/hyperlinks.xlsx 9068 9 13040 9 13040 6995
test-data/ooxml/xlsx/named-ranges-global.xlsx 5664 6 13071 6 13071 4443
test-data/ooxml/xlsx/named-ranges-hidden.xlsx 8959 7 15646 7 15646 8392
test-data/ooxml/xlsx/noSharedStringTable.xlsx 7820 6 11922 6 11922 6798
test-data/ooxml/xlsx/sample.xlsx 12348 13 23094 13 23094 6995
test-data/ooxml/xlsx/shared-strings-malformed-count.xlsx 6266 6 9710 6 9710 4451
test-data/ooxml/xlsx/shared_formulas.xlsx 10137 9 22061 9 22061 6995
test-data/ooxml/xlsx/sharedhyperlink.xlsx 9080 7 13891 7 13891 6784
test-data/ooxml/xlsx/sheet-names.xlsx 9425 10 13749 10 13749 7079
test-data/ooxml/xlsx/sheet-state-show.xlsx 26753 8 165918 8 165918 91187
test-data/ooxml/xlsx/sheet-tab-color.xlsx 8408 9 12012 9 12012 6995
test-data/ooxml/xlsx/sheetProtection_allLocked.xlsx 7871 8 11361 8 11361 6997
test-data/ooxml/xlsx/sheetProtection_not_protected.xlsx 28728 8 32868 7 12192 20676
test-data/ooxml/xlsx/sortconditionref.xlsx 8993 7 14599 7 14599 6800
test-data/ooxml/xlsx/sortconditionref2.xlsx 14816 11 78707 11 78707 21128
test-data/ooxml/xlsx/style-alternate-content.xlsx 10103 7 49209 7 49209 30311
test-data/ooxml/xlsx/styles.xlsx 9309 9 16190 9 16190 6995
test-data/ooxml/xlsx/table-sample.xlsx 10595 9 17774 9 17774 6784
test-data/ooxml/xlsx/tableStyle.xlsx 10899 10 21982 10 21982 8390
test-data/ooxml/xlsx/test_conditional_formatting.xlsx 10203 9 18116 9 18116 8390
test-data/ooxml/xlsx/universal-content.xlsx 7296 9 12730 9 12730 4425
test-data/poi/test-data/document/61745.docx 37030 16 98750 16 98750 28676
test-data/poi/test-data/document/Bug54849.docx 27566 21 110027 21 110027 19883
test-data/poi/test-data/document/ComplexNumberedLists.docx 14458 10 62145 10 62145 15955
test-data/poi/test-data/document/EmbeddedDocument.docx 13268 10 49867 8 28463 18432
test-data/poi/test-data/document/Numbering.docx 13808 9 61626 9 61626 28947
test-data/poi/test-data/document/NumberingWOverrides.docx 15190 9 141245 9 141245 101820
test-data/poi/test-data/document/NumberingWithOutOfOrderId.docx 12978 9 52125 9 52125 28947
test-data/poi/test-data/document/heading123.docx 74810 9 90532 8 27092 63440
test-data/poi/test-data/document/saut_page.docx 2959626 26 5359641 26 5359641 415920
test-data/poi/test-data/document/testComment.docx 65298 13 111088 12 62364 48724
test-data/poi/test-data/integration/test_recursive_embedded.docx 27082 18 76737 17 71745 29856
test-data/poi/test-data/openxml4j/50154.xlsx 13583 15 22252 14 22134 7562
test-data/poi/test-data/openxml4j/OPCCompliance_CoreProperties_AlternateTimezones.docx 13159 9 36732 8 34466 15947
test-data/poi/test-data/openxml4j/OPCCompliance_CoreProperties_DCTermsNamespaceLimitedUseFAIL.docx 9788 8 27566 8 27566 14817
test-data/poi/test-data/openxml4j/OPCCompliance_CoreProperties_DoNotUseCompatibilityMarkupFAIL.docx 9801 8 27594 8 27594 14817
test-data/poi/test-data/openxml4j/OPCCompliance_CoreProperties_LimitedXSITypeAttribute_NotPresentFAIL.docx 9786 8 27530 8 27530 14817
test-data/poi/test-data/openxml4j/OPCCompliance_CoreProperties_LimitedXSITypeAttribute_PresentWithUnauthorizedValueFAIL.docx 9787 8 27548 8 27548 14817
test-data/poi/test-data/openxml4j/OPCCompliance_CoreProperties_OnlyOneCorePropertiesPartFAIL.docx 24250 open-refused - - - - MultipleCorePropertiesRelationships
test-data/poi/test-data/openxml4j/OPCCompliance_CoreProperties_SUCCESS.docx 10058 8 27522 8 27522 14817
test-data/poi/test-data/openxml4j/OPCCompliance_CoreProperties_UnauthorizedXMLLangAttributeFAIL.docx 9814 8 27619 8 27619 14817
test-data/poi/test-data/openxml4j/OPCCompliance_DerivedPartNameFAIL.docx 24759 open-refused - - - - DerivedPartNames { existing: "/word/document.xml", candidate: "/word/document.xml/image1.gif" }
test-data/poi/test-data/openxml4j/OPCCompliance_NoCoreProperties.xlsx 11483 12 19562 12 19562 6995
test-data/poi/test-data/slideshow/45545_Comment.pptx 308394 58 907994 55 799553 260096
test-data/poi/test-data/slideshow/ArtisticEffectSample.pptx 972788 37 1312710 33 411839 882682
test-data/poi/test-data/slideshow/EmbeddedAudio.pptx 90047 23 143755 20 85441 52079
test-data/poi/test-data/slideshow/EmbeddedVideo.pptx 201418 23 255786 20 86428 101799
test-data/poi/test-data/slideshow/bug62513.pptx 384775 75 620797 60 440982 121856
test-data/poi/test-data/slideshow/bug65551.pptx 34383 27 121382 25 119764 24576
test-data/poi/test-data/slideshow/placeholder-layout-color.pptx 346876 20 395876 13 68247 63140
test-data/poi/test-data/slideshow/prProps.pptx 30976 17 80017 16 73873 13576
test-data/poi/test-data/spreadsheet/45540_classic_Header.xlsx 40213 25 149783 25 149783 39831
test-data/poi/test-data/spreadsheet/45540_form_Footer.xlsx 57465 54 129937 51 110020 29035
test-data/poi/test-data/spreadsheet/45540_form_Header.xlsx 57471 54 129937 51 110020 29035
test-data/poi/test-data/spreadsheet/47889.xlsx 3555 5 4045 5 4045 1681
test-data/poi/test-data/spreadsheet/48962.xlsx 50260 8 66684 7 26828 39856
test-data/poi/test-data/spreadsheet/49609.xlsx 105424 5 546807 5 546807 269107
test-data/poi/test-data/spreadsheet/54071.xlsx 9150 8 15087 8 15087 7086
test-data/poi/test-data/spreadsheet/56169.xlsx 10345 11 15961 11 15961 7079
test-data/poi/test-data/spreadsheet/58106.xlsx 9111 9 15560 9 15560 7079
