fixture parts total_bytes largest_bytes remainder_bytes
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk.docx 8 43270 15719 27551
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/writerfilter/dmapper/data/layout-in-cell-2.docx 14 436180 154088 282092
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/writerfilter/dmapper/data/redline-range-comment.docx 13 78329 44558 33771
/home/zhuhe/code/litchi-worktrees/0662/test-data/office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx 9 15563 5408 10155
/home/zhuhe/code/litchi-worktrees/0662/test-data/office-interop/libreoffice-resaved/document-properties-litchi.docx 8 24505 16499 8006
/home/zhuhe/code/litchi-worktrees/0662/test-data/office-interop/libreoffice-resaved/shapes-litchi.pptx 24 249702 27494 222208
/home/zhuhe/code/litchi-worktrees/0662/test-data/office-interop/litchi-changed/date-autofilter-litchi.xlsx 7 13059 6807 6252
/home/zhuhe/code/litchi-worktrees/0662/test-data/office-interop/litchi-changed/document-properties-litchi.docx 8 29129 14669 14460
/home/zhuhe/code/litchi-worktrees/0662/test-data/office-interop/litchi-changed/shapes-litchi.pptx 25 112008 20767 91241
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/ComplexNumberedLists.docx 10 62235 15964 46271
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/FancyFoot.docx 11 36834 17717 19117
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/Headers.docx 13 35759 16731 19028
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/Hyperlink.docx 8 43389 28970 14419
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/comment.docx 7 9220 3266 5954
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/documentProperties.docx 8 29110 14669 14441
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/documentProtection_comments_no_password.docx 8 27145 14849 12296
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/documentProtection_forms_no_password.docx 8 27252 14849 12403
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/documentProtection_no_protection.docx 8 27180 14849 12331
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/documentProtection_readonly_no_password.docx 8 27093 14849 12244
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/drawing.docx 8 342020 287975 54045
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/endnotes.docx 12 35706 15694 20012
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/footnotes.docx 12 31824 15679 16145
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/headerFooter.docx 14 35113 15799 19314
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/headerPic.docx 11 35984 16463 19521
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/table-alignment.docx 8 71669 45740 25929
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/table_footnotes.docx 12 34001 16642 17359
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/docx/testComment.docx 12 62472 33072 29400
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/SmartArt.pptx 25 146604 20758 125846
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/activex/activex_checkbox.pptx 23 87059 13933 73126
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/backgrounds.pptx 23 84261 12092 72169
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/connectorConnection.pptx 20 85748 13883 71865
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/curvedConnectors.pptx 20 88471 13883 74588
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/elbowConnectors.pptx 20 88392 13883 74509
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/line-chart.pptx 5 12109 7013 5096
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/pie-chart.pptx 21 71591 12090 59501
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/radar-chart.pptx 5 12093 7013 5080
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/sample.pptx 21 83666 11986 71680
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/scatter-chart.pptx 5 12057 7013 5044
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/shape-blur-effect.pptx 20 84050 13883 70167
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/shape-glow-effect.pptx 10 24907 8675 16232
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/shape-soft-edges.pptx 39 180145 16717 163428
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/shape-text-glow-effect.pptx 20 84051 13861 70190
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/shape-text-rotate.pptx 21 84478 13914 70564
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/shapes.pptx 25 111990 20749 91241
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-accent-process.pptx 25 132362 20758 111604
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-autoTxRot.pptx 34 296487 30542 265945
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-autofit-sync.pptx 25 157685 29328 128357
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-background-drawingml-fallback.pptx 25 129038 20758 108280
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-background.pptx 24 120601 20758 99843
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-bullet-list.pptx 24 115684 20758 94926
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-center-cycle.pptx 24 121610 20758 100852
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-chevron.pptx 24 123609 20758 102851
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-children.pptx 24 143608 20758 122850
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-cnt.pptx 24 176814 59386 117428
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-composite-infer-right.pptx 15 97784 29860 67924
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-continuous-block-process.pptx 25 123075 20758 102317
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-cycle-matrix.pptx 25 167278 29608 137670
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-cycle.pptx 24 131603 20758 110845
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-data-follow.pptx 24 175161 38656 136505
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-dir.pptx 24 123048 20758 102290
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-font-size.pptx 32 205008 20758 184250
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-interopgrabbag.pptx 25 132524 20758 111766
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-linear-rule-vert.pptx 27 149754 20761 128993
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-linear-rule.pptx 25 135152 20758 114394
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-maxdepth.pptx 24 121400 20758 100642
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-missing-bullet.pptx 20 114197 20758 93439
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-multidirectional.pptx 24 123007 20758 102249
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-org-chart.pptx 25 175405 38656 136749
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-org-chart2.pptx 24 192564 48005 144559
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-picture-strip.pptx 25 128989 20758 108231
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-preserve.pptx 25 132434 20758 111676
