# kind fixture detail eager lazy verdict
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx - a7d58ac6d867f570c63cb104cdca1c601bdb40f87250232552ad78946adfe765:16883 a7d58ac6d867f570c63cb104cdca1c601bdb40f87250232552ad78946adfe765:16883 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx - 7 7 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx - d56bb58e86002d3498ecb845231c8306b5f282998d6b559d231805f7aadcb770:4243 d56bb58e86002d3498ecb845231c8306b5f282998d6b559d231805f7aadcb770:4243 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx - d56bb58e86002d3498ecb845231c8306b5f282998d6b559d231805f7aadcb770:4243 d56bb58e86002d3498ecb845231c8306b5f282998d6b559d231805f7aadcb770:4243 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/queryTableExport.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/queryTableExport.xlsx - 12 12 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/queryTableExport.xlsx - b665ed05b9ed01d98ca6b01c080d91a9cbe1b9bf805cc53ef640bb95c89f64ce:8580 b665ed05b9ed01d98ca6b01c080d91a9cbe1b9bf805cc53ef640bb95c89f64ce:8580 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/queryTableExport.xlsx - b665ed05b9ed01d98ca6b01c080d91a9cbe1b9bf805cc53ef640bb95c89f64ce:8580 b665ed05b9ed01d98ca6b01c080d91a9cbe1b9bf805cc53ef640bb95c89f64ce:8580 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx - 12 12 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx - 5da77691d9c554727e0cc0e47397822ae892d65a85b012c47375860ab5a551f6:9455 5da77691d9c554727e0cc0e47397822ae892d65a85b012c47375860ab5a551f6:9455 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx - 5da77691d9c554727e0cc0e47397822ae892d65a85b012c47375860ab5a551f6:9455 5da77691d9c554727e0cc0e47397822ae892d65a85b012c47375860ab5a551f6:9455 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx - ok ok MATCH
