# fixture operation parts inflated_bytes parts_inflated bytes_inflated outcome
ooxml/pptx/trigger.pptx opc-reblob 21 79351 1 1344 published:32278
ooxml/xlsb/51519.xlsb opc-reblob 12 16139 1 820 published:10897
ooxml/xlsb/62815.xlsb opc-reblob 8 39136 1 787 published:10665
ooxml/xlsb/Simple.xlsb opc-reblob 12 10806 1 848 published:9161
ooxml/xlsb/bug66682.xlsb opc-reblob 11 13561 1 784 published:9580
ooxml/xlsb/comments.xlsb opc-reblob 14 16734 1 839 published:10796
ooxml/xlsb/cond_format.xlsb opc-reblob 8 13129 1 785 published:8253
ooxml/xlsb/date.xlsb opc-reblob 7 11148 1 785 published:7566
ooxml/xlsb/hyperlink.xlsb opc-reblob 8 11341 1 785 published:7882
ooxml/xlsb/pivot-cache-ac-prefixed.xlsb opc-reblob 13 13532 1 853 published:11002
ooxml/xlsb/sample.xlsb opc-reblob 16 14669 1 842 published:10843
ooxml/xlsb/universal-content.xlsb opc-reblob 15 14842 1 819 published:11087
ooxml/xlsx/ConditionalFormattingSamples.xlsx opc-reblob 90 1020366 1 9619 published:654688
ooxml/xlsx/CustomXMLMappings-complex-type.xlsx opc-reblob 15 37236 1 823 published:14979
ooxml/xlsx/CustomXMLMappings.xlsx opc-reblob 11 15341 1 828 published:9906
ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx opc-reblob 11 15344 1 828 published:9915
ooxml/xlsx/DataValidationEvaluations.xlsx opc-reblob 12 31760 1 915 published:13679
ooxml/xlsx/DataValidationListTooLong.xlsx opc-reblob 6 2678 1 183 published:3286
ooxml/xlsx/DateFormatNumberTests.xlsx opc-reblob 9 22756 1 820 published:10981
ooxml/xlsx/DateFormatTests.xlsx opc-reblob 9 32903 1 820 published:12394
ooxml/xlsx/ExcelPivotTableSample.xlsx opc-reblob 17 29482 1 874 published:19460
ooxml/xlsx/ExcelTables.xlsx opc-reblob 10 16711 1 988 published:9457
ooxml/xlsx/FormatChoiceTests.xlsx opc-reblob 10 74250 1 820 published:46589
ooxml/xlsx/FormatConditionTests.xlsx opc-reblob 9 53478 1 820 published:14577
ooxml/xlsx/Formatting.xlsx opc-reblob 9 14477 1 839 published:8847
ooxml/xlsx/HeaderFooterComplexFormats.xlsx opc-reblob 9 15475 1 854 published:9543
ooxml/xlsx/InlineString.xlsx opc-reblob 7 14253 1 785 published:8401
ooxml/xlsx/InlineStrings.xlsx opc-reblob 8 14539 1 267 published:7843
ooxml/xlsx/MatrixFormulaEvalTestData.xlsx opc-reblob 9 50617 1 785 published:14875
ooxml/xlsx/NewStyleConditionalFormattings.xlsx opc-reblob 9 48316 1 762 published:13378
ooxml/xlsx/NewlineInFormulas.xlsx opc-reblob 9 13693 1 849 published:8935
ooxml/xlsx/Pivot1_Row.xlsx opc-reblob 11 19485 1 394 published:12707
ooxml/xlsx/Pivot1_Row_Grand.xlsx opc-reblob 11 19541 1 394 published:12709
ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx opc-reblob 11 20318 1 394 published:12845
ooxml/xlsx/Pivot2_Row.xlsx opc-reblob 11 18928 1 394 published:12590
ooxml/xlsx/Pivot2_Row_Compact.xlsx opc-reblob 11 20092 1 862 published:12877
ooxml/xlsx/Pivot2_Row_Grand.xlsx opc-reblob 11 19045 1 394 published:12615
ooxml/xlsx/Pivot2_Row_Grand_Subtotals.xlsx opc-reblob 11 19470 1 394 published:12670
ooxml/xlsx/Pivot2_Row_Subtotals.xlsx opc-reblob 11 19352 1 394 published:12656
ooxml/xlsx/Pivot2_Row_Subtotals_SortDescendingAll.xlsx opc-reblob 11 19409 1 394 published:12677
ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx opc-reblob 11 19703 1 394 published:12716
ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx opc-reblob 11 19723 1 394 published:12734
ooxml/xlsx/SimpleMultiCell.xlsx opc-reblob 8 12002 1 839 published:8123
ooxml/xlsx/SimpleNormal.xlsx opc-reblob 9 13413 1 801 published:8871
ooxml/xlsx/SimpleScatterChart.xlsx opc-reblob 16 49029 1 908 published:18278
ooxml/xlsx/SimpleStrict.xlsx opc-reblob 9 14186 1 776 published:9225
ooxml/xlsx/SimpleWithComments.xlsx opc-reblob 11 15719 1 839 published:10060
ooxml/xlsx/SingleCellTable.xlsx opc-reblob 8 15481 1 785 published:9486
ooxml/xlsx/Sparklines.xlsx opc-reblob 8 30630 1 839 published:13356
ooxml/xlsx/StructuredReferences.xlsx opc-reblob 10 17308 1 813 published:10459
